Found enzyme: Carbonic anhydrase (4.2.1.1)
--- Substrate, Organism, UniProt ID, KM Value (mM) ---
Substrate: H2CO3, Organism: Dunaliella salina, UniProt ID: , KM Value: 45.0
Substrate: H2CO3, Organism: Dunaliella salina, UniProt ID: , KM Value: 37.1
Substrate: H2CO3, Organism: Dunaliella salina, UniProt ID: , KM Value: 37.3
Substrate: H2CO3, Organism: Homo sapiens, UniProt ID: , KM Value: 19.7
Substrate: H2CO3, Organism: Homo sapiens, UniProt ID: , KM Value: 48.4
Substrate: H2CO3, Organism: Homo sapiens, UniProt ID: , KM Value: 54.6
Substrate: H2CO3, Organism: Homo sapiens, UniProt ID: , KM Value: 73.8
Substrate: H2CO3, Organism: Homo sapiens, UniProt ID: , KM Value: 80.1
Substrate: H2CO3, Organism: Mesorhizobium loti, UniProt ID: , KM Value: 112.7
Substrate: H2CO3, Organism: Danio rerio, UniProt ID: , KM Value: 6.5
Substrate: H2CO3, Organism: Salmo trutta Labrax Coruhensis, UniProt ID: , KM Value: 0.434
Substrate: H2CO3, Organism: Python bivittatus, UniProt ID: , KM Value: 21.5
Substrate: H2CO3, Organism: Dunaliella salina, UniProt ID: , KM Value: 32.2
Substrate: H2CO3, Organism: Dunaliella salina, UniProt ID: , KM Value: 33.4
Substrate: H2CO3, Organism: Dunaliella salina, UniProt ID: , KM Value: 28.7
Substrate: H2CO3, Organism: Dunaliella salina, UniProt ID: , KM Value: 30.1
Substrate: H2CO3, Organism: Homo sapiens, UniProt ID: , KM Value: 150000.0
Substrate: H2CO3, Organism: Sulfurihydrogenibium azorense, UniProt ID: , KM Value: 350000.0
Substrate: H2CO3, Organism: Sulfurihydrogenibium sp. Y, UniProt ID: O3AOP1, KM Value: 110000.0
Substrate: H2CO3, Organism: Methanothermobacter thermautotrophicus, UniProt ID: , KM Value: 5900.0
Substrate: H2CO3, Organism: Persephonella marina, UniProt ID: , KM Value: 30000.0
Substrate: H2CO3, Organism: Thermovibrio ammonificans, UniProt ID: , KM Value: 160000.0
Substrate: H2CO3, Organism: Plasmodium falciparum, UniProt ID: , KM Value: 72000.0
Substrate: H2CO3, Organism: Danio rerio, UniProt ID: , KM Value: 130000.0
Substrate: H2CO3, Organism: Salmo trutta Labrax Coruhensis, UniProt ID: , KM Value: 1585.0
Substrate: H2CO3, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 3100.0
Substrate: H2CO3, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 3900.0
Substrate: H2CO3, Organism: Plasmodium falciparum, UniProt ID: , KM Value: 5400.0
Substrate: H2CO3, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 5400.0
Substrate: H2CO3, Organism: Plasmodium falciparum, UniProt ID: , KM Value: 5400.0
Substrate: H2CO3, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 5400.0
Substrate: CO2, Organism: Chionodraco hamatus, UniProt ID: , KM Value: 10.41
Substrate: CO2, Organism: Trematomus bernacchii, UniProt ID: , KM Value: 11.04
Substrate: CO2, Organism: Micropterus salmoides, UniProt ID: , KM Value: 16.0
Substrate: CO2, Organism: Oncorhynchus mykiss, UniProt ID: , KM Value: 8.72
Substrate: CO2, Organism: Oncorhynchus mykiss, UniProt ID: , KM Value: 12.1
Substrate: CO2, Organism: Oncorhynchus mykiss, UniProt ID: , KM Value: 23.26
Substrate: CO2, Organism: Mus musculus, UniProt ID: , KM Value: 5.6
Substrate: CO2, Organism: Mus musculus, UniProt ID: , KM Value: 5.9
Substrate: CO2, Organism: Mus musculus, UniProt ID: , KM Value: 15.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 15.0
Substrate: CO2, Organism: Mus musculus, UniProt ID: , KM Value: 13.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 13.0
Substrate: CO2, Organism: Mus musculus, UniProt ID: , KM Value: 19.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 19.0
Substrate: CO2, Organism: Mus musculus, UniProt ID: , KM Value: 14.2
Substrate: CO2, Organism: Mus musculus, UniProt ID: , KM Value: 1.6
Substrate: CO2, Organism: Oryctolagus cuniculus, UniProt ID: , KM Value: 1.6
Substrate: CO2, Organism: Mus musculus, UniProt ID: , KM Value: 19.3
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 19.3
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 7.3
Substrate: CO2, Organism: Acipenser gueldenstaedtii, UniProt ID: , KM Value: 10.9
Substrate: CO2, Organism: Leishmania chagasi, UniProt ID: , KM Value: 0.0158
